source_index,Date_Time,G_unshaded_W_m2,Shade_Percentage,G_shaded_W_m2,T_middle_C,T_shaded_measured_C,T_amb_C,wind_speed_m_s,V_mpp_module_V,I_mpp_module_A,P_mpp_module_W,V_shaded_cell_mpp_V,I_shaded_cell_mpp_A,P_cell_elec_mpp_W,P_reverse_heat_W,q_reverse_W_m2,q_total_W_m2,status,error_message
24,2025-09-14 13:23:10,1002.82,48.0,521.4664,48.59734,62.1,28.57046,2.445435,19.90000000000001,9.619956520018318,191.43713474836463,-11.418112341090067,6.503212966629607,-74.25441623101047,74.25441623101047,2701.7980435783065,3223.264443578307,ok,
25,2025-09-14 13:24:10,1000.84,49.0,510.4284,48.02861,63.1,29.29055,1.404339,20.00000000000001,9.575829592756454,191.51659185512918,-11.466984919717655,6.371434005006429,-73.06113765238499,73.06113765238499,2658.379781166221,3168.8081811662214,ok,
26,2025-09-14 13:25:10,1003.89,48.0,522.0228,47.63857,63.1,28.65754,3.137689,20.00000000000001,9.619476118071582,192.38952236143174,-11.450798410071888,6.514455586118407,-74.59571766800859,74.59571766800859,2714.2165312798757,3236.239331279876,ok,
27,2025-09-14 13:31:10,995.2,49.0,507.552,48.8927,42.6,29.06676,1.060387,19.90000000000001,9.538347399224845,189.8131132445745,-11.442477845126403,6.31294512674261,-72.23573475025101,72.23573475025101,2628.3469284506127,3135.898928450613,ok,
28,2025-09-14 13:32:10,995.35,49.0,507.62850000000003,49.0331,43.4,28.26004,2.254811,19.90000000000001,9.5342940915786,189.7324524224142,-11.437383009784018,6.3141853414146025,-72.21775614452267,72.21775614452267,2627.6927645065857,3135.321264506586,ok,
29,2025-09-14 13:33:10,995.96,49.0,507.93960000000004,49.71615,43.4,29.0217,1.989512,19.90000000000001,9.512733664651646,189.30339992656786,-11.413495041577118,6.315710722816071,-72.08433301889666,72.08433301889666,2622.838072246088,3130.777672246088,ok,
30,2025-09-14 13:34:10,997.03,48.0,518.4556,48.13011,44.4,28.62398,2.111609,20.00000000000001,9.537524629813324,190.75049259626658,-11.438833080095156,6.449941977479617,-73.77980965668822,73.77980965668822,2684.529156701815,3202.984756701815,ok,
31,2025-09-14 13:41:10,989.55,49.0,504.6705,50.54461,86.9,30.29523,1.282355,19.80000000000001,9.470270555793494,187.5113570047113,-11.37542645806643,6.313996485894466,-71.82440268178237,71.82440268178237,2613.38032802119,3118.0508280211902,ok,
32,2025-09-14 13:42:10,986.04,48.0,512.7408,50.58386,89.6,29.45997,1.800363,19.80000000000001,9.437212939423835,186.85681620059205,-11.344127320367035,6.414503670027142,-72.76694632974952,72.76694632974952,2647.6754274014374,3160.4162274014375,ok,
33,2025-09-14 13:43:10,990.01,49.0,504.9051,50.01141,90.6,29.25258,1.39,19.80000000000001,9.495069628209539,188.00237863854898,-11.393151870276064,6.322284832680084,-72.0307512658671,72.0307512658671,2620.8884632820045,3125.7935632820045,ok,
34,2025-09-14 13:44:10,986.35,48.0,512.902,49.75066,92.9,29.03821,2.391942,19.90000000000001,9.42463163702831,187.55016957686348,-11.372002555177517,6.422565401014258,-73.03743015112885,73.03743015112885,2657.51716741524,3170.41916741524,ok,
35,2025-09-14 13:50:10,979.82,48.0,509.50640000000004,45.66404,84.7,29.1627,2.574436,20.20000000000002,9.381285099459868,189.50195900908952,-11.516101783311978,6.386128720906327,-73.5433083512892,73.5433083512892,2675.923893921984,3185.4302939219842,ok,
36,2025-09-14 13:51:10,979.06,48.0,509.1112,47.86096,86.1,30.01528,1.102155,20.00000000000001,9.383949662238813,187.67899324477636,-11.439937592745654,6.375076145489976,-72.93047325340683,72.93047325340683,2653.625467073626,3162.736667073626,ok,
37,2025-09-14 13:52:10,979.37,48.0,509.2724,47.93478,88.2,28.92237,1.521391,20.00000000000001,9.383994032272533,187.67988064545077,-11.436826115860095,6.378864154261328,-72.95396014897977,72.95396014897977,2654.4800539349826,3163.7524539349824,ok,
38,2025-09-14 14:06:10,955.56,50.0,477.78,49.0281,41.6,29.59375,2.710523,19.90000000000001,9.169231777582523,182.46771237389228,-11.469095052559224,5.9443423978575565,-68.17622798598613,68.17622798598613,2480.6389806908232,2958.4189806908234,ok,
