Shade_Percentage,n,U0,U1,RMSE_C,R2,status
48.0,15,46.44665798573845,7.9323457059057665,12.214416980894063,0.12290366129120422,ok
49.0,19,78.0739203371935,8.574186703846563e-20,22.488042160074574,0.02276851826593984,ok
50.0,4,16.742273477223417,22.77255517772657,21.927960620231634,0.10504777448712643,ok
59.0,1,,,,,not enough independent data
